keyword,volume,kd,intent,our_rank,assigned_page,page_type
jeep safari,480,10,Informational,not ranking,/wycieczki/safari-i-quady/,category
marsa alam luksor odległość,480,10,Informational,not ranking,/wycieczki/luksor/,category
orange bay hurghada,480,7,Informational,#48,/wycieczki-z-hurghady/orange-bay/,tour
rejs katamaranem,480,7,"Commercial, Informational",not ranking,/wycieczki/rejsy-i-wyspy/,category
rejs po nilu kair i wielkie piramidy,480,6,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
hurghada wycieczki fakultatywne,480,5,Informational,not ranking,/wycieczki-z-hurghady/,destination
sharm el luli,480,2,"Commercial, Informational",not ranking,/wycieczki-z-marsa-alam/sharm-el-lulli-ras-hankorab/,tour
marsa alam wycieczki fakultatywne po polsku,480,1,Informational,not ranking,/wycieczki-z-marsa-alam/,destination
hurghada egypt,390,34,"Commercial, Informational",not ranking,/wycieczki-z-hurghady/,destination
hurghada wakacje,390,24,Informational,not ranking,/wycieczki-z-hurghady/,destination
gdzie są piramidy,390,22,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
hurghada al bahr al ahmar egipt,390,22,Informational,not ranking,/wycieczki-z-hurghady/,destination
egipt hurghada hotel,390,21,Transactional,not ranking,/wycieczki-z-hurghady/,destination
nowe muzeum w kairze,390,21,Informational,not ranking,BLOG,blog
hurghada hotele 5 gwiazdkowe,390,20,"Informational, Transactional",not ranking,/wycieczki-z-hurghady/,destination
hurghada wycieczki fakultatywne po polsku,390,19,Informational,not ranking,/wycieczki-z-hurghady/,destination
hurghada co zobaczyć,390,17,Informational,not ranking,/wycieczki-z-hurghady/,destination
hotel egipt hurghada,390,15,"Informational, Transactional",not ranking,/wycieczki-z-hurghady/,destination
wakacje hurghada,390,14,Informational,not ranking,/wycieczki-z-hurghady/,destination
el gouna wakacje,390,14,"Informational, Transactional",not ranking,BLOG,blog
egipt hurghada mapa,390,12,Informational,not ranking,/wycieczki-z-hurghady/,destination
wycieczki fakultatywne sharm el sheikh,390,11,Informational,not ranking,/wycieczki-z-sharm-el-sheikh/,destination
hurghada hotel 5 gwiazdkowy,390,11,"Informational, Transactional",not ranking,/wycieczki-z-hurghady/,destination
wyspa orange bay,390,6,Informational,#35,/wycieczki-z-hurghady/orange-bay/,tour
orange bay island,390,6,Informational,not ranking,/wycieczki-z-hurghady/orange-bay/,tour
dolina królów luksor,320,22,Commercial,not ranking,/wycieczki-z-hurghady/luksor-dolina-krolow/,tour
hurghada piramide,320,16,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
mapa egiptu marsa alam,320,13,Informational,not ranking,/wycieczki-z-marsa-alam/,destination
hurghada czy marsa alam,320,13,"Commercial, Informational",not ranking,/wycieczki-z-hurghady/,destination
rafa nurkowanie,320,11,"Commercial, Navigational",not ranking,/wycieczki/nurkowanie/,category
kair godzina,320,10,"Commercial, Informational",not ranking,BLOG,blog
luksor piramidy,320,10,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
wycieczka do kairu,320,7,"Commercial, Informational",#55,/wycieczki/kair-i-piramidy/,category
kair wycieczka,320,5,"Informational, Transactional",#64,/wycieczki/kair-i-piramidy/,category
hurghada sheraton street,260,26,Transactional,not ranking,/wycieczki-z-hurghady/,destination
sheraton street hurghada,260,24,Commercial,not ranking,/wycieczki-z-hurghady/,destination
temp hurghada,260,22,Informational,not ranking,/wycieczki-z-hurghady/,destination
coral travel egipt wycieczki fakultatywne,260,19,"Navigational, Transactional",not ranking,/,home
pod piramidą,260,19,"Informational, Transactional",not ranking,/wycieczki/kair-i-piramidy/,category
egipt piramidy wycieczka,260,18,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
hotele w hurghadzie,260,17,"Informational, Transactional",not ranking,/wycieczki-z-hurghady/,destination
atrakcje w marsa alam,260,16,Informational,not ranking,/wycieczki/atrakcje-i-rozrywka/,category
kair atrakcje,260,15,Informational,not ranking,/wycieczki/atrakcje-i-rozrywka/,category
godzina hurghada,260,15,"Commercial, Informational",not ranking,/wycieczki-z-hurghady/,destination
egipt hurghada wycieczki,260,15,"Commercial, Informational",not ranking,/wycieczki-z-hurghady/,destination
piramidy kair,260,14,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
pod piramida,260,12,"Informational, Transactional",not ranking,/wycieczki/kair-i-piramidy/,category
wycieczki egipt hurghada,260,12,"Commercial, Informational",not ranking,/wycieczki-z-hurghady/,destination
delfinarium hurghada,260,7,Commercial,not ranking,/wycieczki-z-hurghady/delfinarium-dolphin-show/,tour
orange bay egipt,260,6,"Informational, Transactional",#29,/wycieczki-z-hurghady/orange-bay/,tour
marsa alam kair odleglosc,260,6,"Commercial, Informational",#21,/wycieczki-z-marsa-alam/,destination
hamata island,260,6,"Informational, Transactional",not ranking,BLOG,blog
wyspa hamata,260,5,Informational,not ranking,/wycieczki/rejsy-i-wyspy/,category
wycieczki z hurghady do kairu,260,3,Informational,#42,/wycieczki-z-hurghady/,destination
wycieczki z hurghady do piramid,260,1,Informational,#33,/wycieczki/kair-i-piramidy/,category
hurghada 24,210,32,Navigational,not ranking,/wycieczki-z-hurghady/,destination
hurghadzie,210,30,"Commercial, Informational",not ranking,/wycieczki-z-hurghady/,destination
kair z lotu ptaka,210,21,Informational,not ranking,BLOG,blog
coral travel wycieczki fakultatywne egipt,210,19,"Navigational, Transactional",not ranking,/,home
hurghada plaża,210,19,Commercial,not ranking,/wycieczki-z-hurghady/,destination
egipt hurghada temperatura,210,18,Informational,not ranking,/wycieczki-z-hurghady/,destination
atrakcje hurghada,210,17,Informational,not ranking,/wycieczki/atrakcje-i-rozrywka/,category
centrum hurghada,210,17,Commercial,not ranking,/wycieczki-z-hurghady/,destination
kair muzeum,210,16,"Commercial, Informational",not ranking,BLOG,blog
luksor dolina królów,210,16,Commercial,not ranking,/wycieczki-z-hurghady/luksor-dolina-krolow/,tour
egipt wycieczki objazdowe,210,15,Informational,not ranking,/,home
egipt mapa marsa alam,210,15,Informational,not ranking,/wycieczki-z-marsa-alam/,destination
muzeum egipskie kair,210,15,"Commercial, Informational",not ranking,/wycieczki/kair-i-piramidy/,category
dolina królów luxor egipt,210,15,"Informational, Transactional",not ranking,/wycieczki-z-hurghady/luksor-dolina-krolow/,tour
marsa alam co warto zobaczyć,210,14,Informational,not ranking,/wycieczki-z-marsa-alam/,destination
marsa alam czy hurghada,210,14,"Commercial, Informational",not ranking,/wycieczki-z-hurghady/,destination
hurghady,210,14,"Commercial, Informational",not ranking,/wycieczki-z-hurghady/,destination
hurghada centrum miasta,210,14,Informational,not ranking,/wycieczki-z-hurghady/,destination
kair ulice,210,13,Informational,not ranking,BLOG,blog
czy w hurghadzie jest bezpiecznie,210,13,Informational,not ranking,/wycieczki-z-hurghady/,destination
hurghada paradise island,210,12,Informational,#21,/wycieczki-z-hurghady/wyspa-paradise/,tour
luxor dolina królów,210,12,Commercial,not ranking,/wycieczki-z-hurghady/luksor-dolina-krolow/,tour
hurghada temperatura wody luty,210,11,Informational,not ranking,/wycieczki-z-hurghady/,destination
wycieczki egipt marsa alam,210,11,"Commercial, Informational",not ranking,/wycieczki-z-marsa-alam/,destination
hurghada centrum,210,11,Informational,not ranking,/wycieczki-z-hurghady/,destination
paradise island egipt,210,11,Informational,not ranking,/wycieczki-z-hurghady/wyspa-paradise/,tour
hurghada luksor odległość,210,10,"Commercial, Informational",#5,/wycieczki/luksor/,category
nurkowanie hurghada,210,10,Commercial,not ranking,/wycieczki/nurkowanie/,category
egipt łódź podwodna hurghada,210,8,"Informational, Transactional",not ranking,/wycieczki-z-hurghady/,destination
buggy safari,210,7,Informational,not ranking,/wycieczki/safari-i-quady/,category
paradise island hurghada,210,7,Informational,not ranking,/wycieczki-z-hurghady/wyspa-paradise/,tour
hamata egipt,210,7,Informational,not ranking,BLOG,blog
hurghada jakie morze,210,6,Informational,not ranking,/wycieczki-z-hurghady/,destination
sharm el naga,210,6,Commercial,not ranking,/wycieczki-z-sharm-el-sheikh/,destination
hurghada kair,210,5,"Commercial, Informational",#83,/wycieczki-z-hurghady/,destination
hurghada piramidy odległość,210,5,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
marsa alam piramidy,210,3,Informational,#59,/wycieczki/kair-i-piramidy/,category
wycieczki fakultatywne z marsa alam,210,3,Informational,not ranking,/wycieczki-z-marsa-alam/,destination
marsa alam nurkowanie,210,1,"Commercial, Informational",not ranking,/wycieczki/nurkowanie/,category
koszt wycieczki z hurghady do piramid,210,0,Informational,#58,/wycieczki/kair-i-piramidy/,category
hurghada google maps,170,36,"Informational, Transactional",not ranking,/wycieczki-z-hurghady/,destination
hurghada temperatura luty,170,26,Informational,not ranking,/wycieczki-z-hurghady/,destination
temperatura egipt hurghada,170,24,Informational,not ranking,/wycieczki-z-hurghady/,destination
sahl hasheesh egipt,170,23,Informational,not ranking,BLOG,blog
hurghada temperatura grudzień,170,23,Informational,not ranking,/wycieczki-z-hurghady/,destination
gdzie jest hurghada,170,21,Informational,not ranking,/wycieczki-z-hurghady/,destination
el gouna egypt,170,19,Informational,not ranking,BLOG,blog
sahl hasheesh egypt,170,18,Informational,not ranking,BLOG,blog
gdzie leży hurghada,170,18,Informational,not ranking,/wycieczki-z-hurghady/,destination
hurghada wycieczki fakultatywne tui,170,17,Commercial,not ranking,/wycieczki-z-hurghady/,destination
piramidy w egipcie mapa,170,17,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
hotele w centrum hurghady,170,17,"Informational, Transactional",not ranking,/wycieczki-z-hurghady/,destination
co zwiedzić w hurghadzie,170,16,Informational,not ranking,/wycieczki-z-hurghady/,destination
co zobaczyć w hurghadzie,170,16,Informational,not ranking,/wycieczki-z-hurghady/,destination
abu dabbab beach,170,15,"Commercial, Informational",not ranking,/wycieczki-z-marsa-alam/abu-dabbab/,tour
hurghada giza odległość,170,15,Informational,not ranking,/wycieczki-z-hurghady/,destination
marsa alam czy hurghada zimą,170,14,Informational,not ranking,/wycieczki-z-hurghady/,destination
piramidy w egipcie gdzie sa,170,14,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
hurghada wschód słońca,170,14,"Informational, Transactional",not ranking,/wycieczki-z-hurghady/,destination
hotel hurghada egipt,170,14,"Informational, Transactional",not ranking,/wycieczki-z-hurghady/,destination
hurghada najlepsze hotele,170,14,"Informational, Transactional",not ranking,/wycieczki-z-hurghady/,destination
el gouna city,170,14,"Commercial, Informational",not ranking,BLOG,blog
jaki hotel w hurghadzie polecacie,170,14,Informational,not ranking,/wycieczki-z-hurghady/,destination
egipt hurghada atrakcje,170,14,Informational,not ranking,/wycieczki/atrakcje-i-rozrywka/,category
zachód słońca hurghada,170,12,"Commercial, Informational",not ranking,/wycieczki-z-hurghady/,destination
marsa alam co zwiedzać,170,12,Informational,not ranking,/wycieczki-z-marsa-alam/,destination
abu dabbab marsa alam,170,12,Commercial,not ranking,/wycieczki-z-marsa-alam/abu-dabbab/,tour
el gouna mapa,170,11,Informational,not ranking,BLOG,blog
zachod slonca hurghada,170,10,"Commercial, Informational",not ranking,/wycieczki-z-hurghady/,destination
godzina marsa alam,170,10,"Commercial, Informational",not ranking,/wycieczki-z-marsa-alam/,destination
grand aquarium,170,10,Informational,not ranking,/wycieczki-z-hurghady/wielkie-akwarium/,tour
hurghada luksor,170,10,Informational,not ranking,/wycieczki/luksor/,category
wycieczka na safari cena,170,8,Informational,not ranking,/wycieczki/safari-i-quady/,category
hurghada nurkowanie,170,8,Commercial,not ranking,/wycieczki/nurkowanie/,category
zatoka abu dabbab,170,8,"Commercial, Informational",not ranking,/wycieczki-z-marsa-alam/abu-dabbab/,tour
rafa koralowa egipt hurghada,170,7,Informational,not ranking,/wycieczki/nurkowanie/,category
godzina w marsa alam,170,6,"Commercial, Informational",not ranking,/wycieczki-z-marsa-alam/,destination
wycieczki fakultatywne egipt hurghada,170,6,Informational,not ranking,/wycieczki-z-hurghady/,destination
rafa koralowa hurghada,170,5,Informational,not ranking,/wycieczki/nurkowanie/,category
wycieczka kair,170,5,"Commercial, Informational",not ranking,BLOG,blog
hurghada luxor,170,5,Informational,not ranking,/wycieczki/luksor/,category
wycieczki fakultatywne z hurghady,170,3,Informational,not ranking,/wycieczki-z-hurghady/,destination
wycieczka do kairu z hurghady,170,3,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
wycieczki z marsa alam do luksoru,170,3,Informational,not ranking,/wycieczki/luksor/,category
hurghada łódź podwodna,170,2,"Informational, Transactional",not ranking,/wycieczki-z-hurghady/,destination
safari egipt,170,2,Informational,not ranking,/wycieczki/safari-i-quady/,category
google maps hurghada,140,32,"Informational, Transactional",not ranking,/wycieczki-z-hurghady/,destination
hurghada maps,140,30,Informational,not ranking,/wycieczki-z-hurghady/,destination
dahar hurghada,140,27,Informational,not ranking,/wycieczki-z-hurghady/,destination
hurghada mapa google,140,26,"Informational, Transactional",not ranking,/wycieczki-z-hurghady/,destination
hurghada temperatura w styczniu,140,25,Informational,not ranking,/wycieczki-z-hurghady/,destination
hurghada koronawirus,140,23,Informational,not ranking,/wycieczki-z-hurghady/,destination
hurghada miasto zdjęcia,140,23,Informational,not ranking,/wycieczki-z-hurghady/,destination
piramidy w gizie opinie,140,18,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
hurghada temperatura marzec,140,17,Informational,not ranking,/wycieczki-z-hurghady/,destination
hurghada luxor odległość,140,16,Informational,#5,/wycieczki/luksor/,category
atrakcje marsa alam,140,16,Informational,not ranking,/wycieczki/atrakcje-i-rozrywka/,category
co zobaczyc w hurghadzie,140,16,Informational,not ranking,/wycieczki-z-hurghady/,destination
wyspy hamata,140,14,"Commercial, Informational",#59,/wycieczki/rejsy-i-wyspy/,category
makadi bay mapa,140,14,Informational,not ranking,BLOG,blog
najlepsze hotele hurghada,140,14,Informational,not ranking,/wycieczki-z-hurghady/,destination
marsa alam abu dabbab,140,14,Informational,not ranking,/wycieczki-z-marsa-alam/abu-dabbab/,tour
egipt zwiedzanie piramid,140,14,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
hurghada map,140,14,Informational,not ranking,/wycieczki-z-hurghady/,destination
egipt marsa alam atrakcje,140,13,Informational,not ranking,/wycieczki/atrakcje-i-rozrywka/,category
marsa alam rafa koralowa,140,12,"Informational, Transactional",not ranking,/wycieczki/nurkowanie/,category
wycieczka egipt piramidy,140,12,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
co warto zobaczyć w hurghadzie,140,11,Informational,#88,/wycieczki-z-hurghady/,destination
sharm el sheikh co warto zobaczyć,140,11,Informational,not ranking,/wycieczki-z-sharm-el-sheikh/,destination
godzina w hurghadzie,140,10,"Commercial, Informational",not ranking,/wycieczki-z-hurghady/,destination
stary kair,140,9,"Commercial, Informational",#25,BLOG,blog
quad safari,140,9,Commercial,not ranking,/wycieczki/safari-i-quady/,category
czy hurghada jest bezpieczna,140,7,Informational,not ranking,/wycieczki-z-hurghady/,destination
wycieczka do kairu z polski,140,7,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
qulaan,140,7,Informational,not ranking,BLOG,blog
safari hurghada egypt,140,7,Commercial,not ranking,/wycieczki/safari-i-quady/,category
quady egipt,140,6,"Commercial, Informational",not ranking,/wycieczki/safari-i-quady/,category
safari hurghada,140,6,Commercial,not ranking,/wycieczki/safari-i-quady/,category
qulaan island,140,5,Informational,not ranking,BLOG,blog
hurghada wycieczka piramidy,140,4,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
ile kosztuje wycieczka z marsa alam do luksoru,140,3,Informational,not ranking,/wycieczki/luksor/,category
wycieczka do luksoru z marsa alam,140,3,Informational,not ranking,/wycieczki/luksor/,category
ile kosztuje wycieczka z hurghady do luksoru,140,3,Informational,not ranking,/wycieczki/luksor/,category
wycieczka z marsa alam do kairu,140,1,Informational,#46,/wycieczki-z-marsa-alam/,destination
wycieczki z marsa alam do kairu,140,1,Informational,#41,/wycieczki-z-marsa-alam/,destination
wycieczka z hurghady do luksoru,140,0,Informational,#22,/wycieczki/luksor/,category
egipt makadi bay,140,-1,"Informational, Transactional",not ranking,BLOG,blog
muzeum w kairze nowe,140,-1,"Informational, Transactional",not ranking,BLOG,blog
centrum hurghady,140,-1,Commercial,not ranking,/wycieczki-z-hurghady/,destination
nowe muzeum egipskie w kairze,110,32,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
sfinks biuro podróży,110,31,Navigational,not ranking,BLOG,blog
meczet hurghada,110,27,Informational,not ranking,/wycieczki-z-hurghady/,destination
muzeum w gizie,110,26,"Informational, Transactional",#22,BLOG,blog
hurghada temperatura maj,110,25,Informational,not ranking,/wycieczki-z-hurghady/,destination
hurghada temperatura listopad,110,23,Informational,not ranking,/wycieczki-z-hurghady/,destination
ile stopni jest w hurghadzie,110,23,Informational,not ranking,/wycieczki-z-hurghady/,destination
jaka temperatura w hurghadzie,110,23,Informational,not ranking,/wycieczki-z-hurghady/,destination
plaza hurghada,110,23,Commercial,not ranking,/wycieczki-z-hurghady/,destination
loty do kairu z warszawy,110,22,Informational,not ranking,BLOG,blog
piramidy egipt mapa,110,22,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
el gouna hurghada,110,22,Informational,not ranking,/wycieczki-z-hurghady/,destination
hurghada plaza,110,21,Commercial,not ranking,/wycieczki-z-hurghady/,destination
wycieczka do hurghady,110,21,Informational,not ranking,/wycieczki-z-hurghady/,destination
egipt soma bay,110,19,Informational,not ranking,BLOG,blog
hurghada luty,110,18,Informational,not ranking,/wycieczki-z-hurghady/,destination
gdzie w egipcie są piramidy,110,17,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
egipt hurghada hotele przy plaży,110,16,"Informational, Transactional",not ranking,/wycieczki-z-hurghady/,destination
piramidy w kairze,110,16,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
hurghada city,110,16,Informational,not ranking,/wycieczki-z-hurghady/,destination
marsa alam czy sharm el sheikh,110,15,"Commercial, Informational",not ranking,/wycieczki-z-marsa-alam/,destination
ile piramid jest w egipcie,110,15,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
kair wakacje,110,15,"Informational, Transactional",not ranking,BLOG,blog
co zwiedzić w marsa alam,110,15,Informational,not ranking,/wycieczki-z-marsa-alam/,destination
marsa alam to luxor,110,15,Informational,not ranking,/wycieczki/luksor/,category
plaze hurghada,110,15,Commercial,not ranking,/wycieczki-z-hurghady/,destination
hurghada egipt mapa,110,15,Informational,not ranking,/wycieczki-z-hurghady/,destination
hurghada w lutym,110,14,Informational,not ranking,/wycieczki-z-hurghady/,destination
egipt hotel hurghada,110,14,"Informational, Transactional",not ranking,/wycieczki-z-hurghady/,destination
hurghada co warto kupić,110,14,Informational,not ranking,/wycieczki-z-hurghady/,destination
egipt wycieczka piramidy,110,14,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
sataya reef,110,14,Commercial,not ranking,/wycieczki-z-marsa-alam/sataya-dom-delfinow/,tour
hurghada mapa hoteli,110,13,"Informational, Transactional",not ranking,/wycieczki-z-hurghady/,destination
piramidy w egipcie gdzie są,110,12,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
kair zwiedzanie,110,12,Informational,not ranking,BLOG,blog
marsa alam tours,110,11,Informational,not ranking,/wycieczki-z-marsa-alam/,destination
egipt marsa alam wycieczki,110,11,Informational,not ranking,/wycieczki-z-marsa-alam/,destination
hurghada morze,110,11,Informational,not ranking,/wycieczki-z-hurghady/,destination
co zwiedzać w marsa alam,110,10,Informational,not ranking,/wycieczki-z-marsa-alam/,destination
temperatura morza hurghada,110,10,Informational,not ranking,/wycieczki-z-hurghady/,destination
temperatura wody w hurghadzie,110,10,"Commercial, Informational",not ranking,/wycieczki-z-hurghady/,destination
wycieczka do egiptu piramidy,110,10,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
marsa alam luxor,110,10,Informational,not ranking,/wycieczki/luksor/,category
hurghada hotel red sea,110,9,"Informational, Transactional",not ranking,/wycieczki-z-hurghady/,destination
hurghada czy sharm gdzie jest ciekawiej,110,9,Informational,not ranking,/wycieczki-z-hurghady/,destination
hurghada temperatura wody w styczniu,110,9,Informational,not ranking,/wycieczki-z-hurghady/,destination
qulaan islands,110,9,Informational,not ranking,BLOG,blog
ktora godzina w marsa alam,110,8,"Commercial, Informational",not ranking,/wycieczki-z-marsa-alam/,destination
hurghada bezpieczenstwo,110,8,Informational,not ranking,/wycieczki-z-hurghady/,destination
kair hurghada odległość,110,7,"Commercial, Informational",not ranking,/wycieczki-z-hurghady/,destination
hurghada zwiedzanie miasta,110,7,Informational,not ranking,/wycieczki-z-hurghady/,destination
hurghada delfinarium,110,6,Commercial,not ranking,/wycieczki-z-hurghady/delfinarium-dolphin-show/,tour
czy kair jest bezpieczny,110,6,"Informational, Transactional",not ranking,BLOG,blog
dahab wycieczki fakultatywne,110,5,Informational,not ranking,/,home
wycieczki fakultatywne z sharm el sheikh,110,5,Informational,not ranking,/wycieczki-z-sharm-el-sheikh/,destination
skąd najbliżej do piramid,110,5,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
luksor wycieczka,110,5,"Commercial, Informational",not ranking,/wycieczki/luksor/,category
hurgada grand aquarium,110,5,Informational,not ranking,/wycieczki-z-hurghady/wielkie-akwarium/,tour
wycieczka do luksoru,110,5,"Commercial, Informational",not ranking,/wycieczki/luksor/,category
hurghada grand aquarium opinie,110,5,Informational,not ranking,/wycieczki-z-hurghady/wielkie-akwarium/,tour
marsa alam plaze,110,4,Informational,not ranking,/wycieczki-z-marsa-alam/,destination
sharm el sheikh piramidy,110,4,Informational,not ranking,/wycieczki/kair-i-piramidy/,category
marsa alam plaże,110,4,Informational,not ranking,/wycieczki-z-marsa-alam/,destination
quady hurghada,110,4,"Commercial, Informational",not ranking,/wycieczki/safari-i-quady/,category
wycieczki fakultatywne egipt marsa alam,110,4,Informational,not ranking,/wycieczki-z-marsa-alam/,destination
ania wycieczki hurghada,110,3,Informational,not ranking,/wycieczki-z-hurghady/,destination
sataya dolphin reef,110,3,"Informational, Transactional",not ranking,/wycieczki-z-marsa-alam/sataya-dom-delfinow/,tour
